site,block,plot,mean_treatment,var_treatment_2019,var_treatment_2020,var_treatment_2021,var_treatment_2022,var_treatment_2023,sensor,fall2023,fall2022,fall2021,var_treatment
meanvar_blue,1,1,ambient,increase,increase,decrease,increase,decrease,y,flip,flip,flip,increase
meanvar_blue,1,2,ambient,decrease,decrease,increase,decrease,increase,y,flip,flip,flip,increase
meanvar_blue,1,3,ambient,ambient,ambient,ambient,ambient,ambient,y,,,,ambient
meanvar_blue,1,4,reduced,decrease ,decrease ,decrease ,decrease ,increase,y,flip,no flip,no flip,increase
meanvar_blue,1,5,reduced,increase,increase,increase,increase,decrease ,y,flip,no flip,no flip,increase
meanvar_blue,1,6,reduced,ambient,ambient,ambient,ambient,ambient,y,,,,ambient
meanvar_blue,2,7,reduced,decrease ,increase,decrease ,increase,increase,y,no flip,flip,flip,increase
meanvar_blue,2,8,reduced,increase,decrease ,increase,decrease ,decrease ,y,no flip,flip,flip,increase
meanvar_blue,2,9,reduced,ambient,ambient,ambient,ambient,ambient,y,,,,ambient
meanvar_blue,2,10,ambient,increase,decrease,increase,increase,decrease,y,flip,no flip,flip,increase
meanvar_blue,2,11,ambient,decrease,increase,decrease,decrease,increase,y,flip,no flip,flip,increase
meanvar_blue,2,12,ambient,ambient,ambient,ambient,ambient,ambient,y,,,,ambient
meanvar_blue,3,13,ambient,ambient,ambient,ambient,ambient,ambient,y,,,,ambient
meanvar_blue,3,14,ambient,increase,increase,increase,decrease,decrease,y,no flip,flip,no flip,increase
meanvar_blue,3,15,ambient,decrease,decrease,decrease,increase,increase,y,no flip,flip,no flip,increase
meanvar_blue,3,16,reduced,ambient,ambient,ambient,ambient,ambient,y,,,,ambient
meanvar_blue,3,17,reduced,decrease ,increase,increase,increase,decrease ,y,flip,no flip,no flip,increase
meanvar_blue,3,18,reduced,increase,decrease ,decrease ,decrease ,increase,y,flip,no flip,no flip,increase
meanvar_blue,4,19,ambient,decrease,decrease,decrease,decrease,increase,,flip,no flip,no flip,increase
