Plot,Corner,Species,Row,Column,TP_ID,Add_Year,Obs_Date,Germ.binom
1,NE,BLUE,1,J,20201BLUENE1J,2020,2020-07-31,1
1,NE,BLUE,4,E,20201BLUENE4E,2020,2020-07-31,1
1,NE,BLUE,4,F,20201BLUENE4F,2020,2020-07-31,1
1,NE,BLUE,5,B,20201BLUENE5B,2020,2020-07-31,1
1,NE,BLUE,5,G,20201BLUENE5G,2020,2020-07-31,1
1,NE,BLUE,5,I,20201BLUENE5I,2020,2020-07-31,1
1,NE,BLUE,5,J,20201BLUENE5J,2020,2020-07-31,1
1,NE,BLACK,1,G,20201BLACKNE1G,2020,2020-07-31,1
1,SW,BLACK,3,C,20201BLACKSW3C,2020,2020-07-31,1
1,SW,BLACK,3,E,20201BLACKSW3E,2020,2020-07-31,1
1,SW,BLUE,1,E,20201BLUESW1E,2020,2020-07-31,1
1,SW,BLUE,2,C,20201BLUESW2C,2020,2020-07-31,1
1,SW,BLUE,4,G,20201BLUESW4G,2020,2020-07-31,1
1,SW,BLUE,5,C,20201BLUESW5C,2020,2020-07-31,1
1,SW,BLUE,5,E,20201BLUESW5E,2020,2020-07-31,1
2,NE,BLACK,2,E,20202BLACKNE2E,2020,2020-07-31,1
2,NE,BLUE,1,I,20202BLUENE1I,2020,2020-07-31,1
2,NE,BLUE,3,C,20202BLUENE3C,2020,2020-07-31,1
2,NE,BLUE,3,F,20202BLUENE3F,2020,2020-07-31,1
2,NE,BLUE,4,J,20202BLUENE4J,2020,2020-07-31,1
2,NE,BLUE,5,D,20202BLUENE5D,2020,2020-07-31,1
2,SW,BLUE,1,G,20202BLUESW1G,2020,2020-07-31,1
2,SW,BLUE,2,H,20202BLUESW2H,2020,2020-07-31,1
2,SW,BLUE,3,A,20202BLUESW3A,2020,2020-07-31,1
2,SW,BLUE,3,D,20202BLUESW3D,2020,2020-07-31,1
2,SW,BLUE,4,D,20202BLUESW4D,2020,2020-07-31,1
2,SW,BLUE,4,J,20202BLUESW4J,2020,2020-07-31,1
2,SW,BLACK,2,I,20202BLACKSW2I,2020,2020-07-31,1
3,NE,BLUE,1,H,20203BLUENE1H,2020,2020-07-31,1
3,NE,BLUE,2,D,20203BLUENE2D,2020,2020-07-31,1
3,NE,BLUE,2,F,20203BLUENE2F,2020,2020-07-31,1
3,NE,BLUE,2,H,20203BLUENE2H,2020,2020-07-31,1
3,NE,BLUE,2,J,20203BLUENE2J,2020,2020-07-31,1
3,NE,BLUE,3,B,20203BLUENE3B,2020,2020-07-31,1
3,NE,BLUE,3,E,20203BLUENE3E,2020,2020-07-31,1
