site,block,plot,quad,treatment,year,season,collection_date,mean_trt,var_trt,species,obs,cover,height,count,field_comments,qaqc_comments,field_sheet_name,collector,quadID
meanvar_black,1,1,2,AA,2019,2,2019-05-09,NA,NA,SATR12,3,0.5,6,1,NA,NA,npp_meanvar_g.05.09.19.jcj.csv,JCJ,meanvar_black-NA-1-2-NA-NA-AA
meanvar_black,1,1,2,AA,2019,3,2019-09-17,NA,NA,BOER4,1,0.5,NA,2,NA,NA,npp_meanvar.09.17.19.lebg.csv,LEB,meanvar_black-NA-1-2-NA-NA-AA
meanvar_black,1,1,1,AA,2019,2,2019-05-09,NA,NA,BOER4,7,0.5,NA,6,NA,NA,npp_meanvar_g.05.09.19.jcj.csv,JCJ,meanvar_black-NA-1-1-NA-NA-AA
meanvar_black,1,1,2,AA,2019,3,2019-09-17,NA,NA,MAPIP,4,0.5,NA,1,NA,NA,npp_meanvar.09.17.19.lebg.csv,LEB,meanvar_black-NA-1-2-NA-NA-AA
meanvar_black,1,1,2,AA,2019,3,2019-09-17,NA,NA,MAPIP,5,0.01,NA,2,NA,NA,npp_meanvar.09.17.19.lebg.csv,LEB,meanvar_black-NA-1-2-NA-NA-AA
meanvar_black,1,1,1,AA,2019,2,2019-05-09,NA,NA,BOER4,6,3.5,NA,1,NA,NA,npp_meanvar_g.05.09.19.jcj.csv,JCJ,meanvar_black-NA-1-1-NA-NA-AA
meanvar_black,1,1,2,AA,2019,3,2019-09-17,NA,NA,SATR12,3,0.1,9,1,NA,NA,npp_meanvar.09.17.19.lebg.csv,LEB,meanvar_black-NA-1-2-NA-NA-AA
meanvar_black,1,1,1,AA,2019,2,2019-05-09,NA,NA,CRCR3,1,0.1,8,7,NA,NA,npp_meanvar_g.05.09.19.jcj.csv,JCJ,meanvar_black-NA-1-1-NA-NA-AA
meanvar_black,1,1,2,AA,2019,2,2019-05-09,NA,NA,SATR12,2,0.25,8,1,NA,NA,npp_meanvar_g.05.09.19.jcj.csv,JCJ,meanvar_black-NA-1-2-NA-NA-AA
meanvar_black,1,1,1,AA,2019,3,2019-09-17,NA,NA,SATR12,2,0.5,12,1,NA,NA,npp_meanvar.09.17.19.lebg.csv,LEB,meanvar_black-NA-1-1-NA-NA-AA
meanvar_black,1,1,2,AA,2019,2,2019-05-09,NA,NA,PLPA2,2,0.05,2,61,NA,NA,npp_meanvar_g.05.09.19.jcj.csv,JCJ,meanvar_black-NA-1-2-NA-NA-AA
meanvar_black,1,1,2,AA,2019,3,2019-09-17,NA,NA,BOER4,2,0.05,NA,1,NA,NA,npp_meanvar.09.17.19.lebg.csv,LEB,meanvar_black-NA-1-2-NA-NA-AA
meanvar_black,1,1,2,AA,2019,3,2019-09-17,NA,NA,MAPIP,3,0.1,NA,3,NA,NA,npp_meanvar.09.17.19.lebg.csv,LEB,meanvar_black-NA-1-2-NA-NA-AA
meanvar_black,1,1,2,AA,2019,2,2019-05-09,NA,NA,SATR12,1,0.01,2,3,NA,NA,npp_meanvar_g.05.09.19.jcj.csv,JCJ,meanvar_black-NA-1-2-NA-NA-AA
meanvar_black,1,1,2,AA,2019,3,2019-09-17,NA,NA,SATR12,2,0.25,17,1,NA,NA,npp_meanvar.09.17.19.lebg.csv,LEB,meanvar_black-NA-1-2-NA-NA-AA
meanvar_black,1,1,2,AA,2019,2,2019-05-09,NA,NA,PLPA2,3,0.1,8,32,NA,NA,npp_meanvar_g.05.09.19.jcj.csv,JCJ,meanvar_black-NA-1-2-NA-NA-AA
meanvar_black,1,1,2,AA,2019,3,2019-09-17,NA,NA,SATR12,1,0.5,22,1,NA,NA,npp_meanvar.09.17.19.lebg.csv,LEB,meanvar_black-NA-1-2-NA-NA-AA
meanvar_black,1,1,2,AA,2019,2,2019-05-09,NA,NA,SPORO,1,0.75,NA,1,NA,NA,npp_meanvar_g.05.09.19.jcj.csv,JCJ,meanvar_black-NA-1-2-NA-NA-AA
meanvar_black,1,1,2,AA,2019,3,2019-09-17,NA,NA,BOER4,3,0.25,NA,1,NA,NA,npp_meanvar.09.17.19.lebg.csv,LEB,meanvar_black-NA-1-2-NA-NA-AA
meanvar_black,1,1,1,AA,2019,3,2019-09-17,NA,NA,BOER4,6,0.1,NA,1,NA,NA,npp_meanvar.09.17.19.lebg.csv,LEB,meanvar_black-NA-1-1-NA-NA-AA
meanvar_black,1,1,2,AA,2019,2,2019-05-09,NA,NA,PLPA2,4,0.25,6,6,NA,NA,npp_meanvar_g.05.09.19.jcj.csv,JCJ,meanvar_black-NA-1-2-NA-NA-AA
meanvar_black,1,1,2,AA,2019,3,2019-09-17,NA,NA,SPORO,1,1,25,1,NA,NA,npp_meanvar.09.17.19.lebg.csv,LEB,meanvar_black-NA-1-2-NA-NA-AA
meanvar_black,1,1,1,AA,2019,2,2019-05-09,NA,NA,BOER4,1,0.25,NA,4,NA,NA,npp_meanvar_g.05.09.19.jcj.csv,JCJ,meanvar_black-NA-1-1-NA-NA-AA
meanvar_black,1,1,2,AA,2019,3,2019-09-17,NA,NA,MAPIP,2,0.25,NA,1,NA,NA,npp_meanvar.09.17.19.lebg.csv,LEB,meanvar_black-NA-1-2-NA-NA-AA
meanvar_black,1,1,1,AA,2019,3,2019-09-17,NA,NA,LEFE,1,0.05,3,1,NA,NA,npp_meanvar.09.17.19.lebg.csv,LEB,meanvar_black-NA-1-1-NA-NA-AA
meanvar_black,1,1,2,AA,2019,3,2019-09-17,NA,NA,MAPIP,1,0.05,NA,6,NA,NA,npp_meanvar.09.17.19.lebg.csv,LEB,meanvar_black-NA-1-2-NA-NA-AA
meanvar_black,1,1,2,AA,2019,2,2019-05-09,NA,NA,BOER4,2,3,NA,1,NA,NA,npp_meanvar_g.05.09.19.jcj.csv,JCJ,meanvar_black-NA-1-2-NA-NA-AA
meanvar_black,1,1,1,AA,2019,3,2019-09-17,NA,NA,SATR12,1,0.05,4,1,NA,NA,npp_meanvar.09.17.19.lebg.csv,LEB,meanvar_black-NA-1-1-NA-NA-AA
meanvar_black,1,1,1,AA,2019,2,2019-05-09,NA,NA,BOER4,4,0.75,NA,3,NA,NA,npp_meanvar_g.05.09.19.jcj.csv,JCJ,meanvar_black-NA-1-1-NA-NA-AA
meanvar_black,1,1,1,AA,2019,2,2019-05-09,NA,NA,BOER4,5,4,NA,1,NA,NA,npp_meanvar_g.05.09.19.jcj.csv,JCJ,meanvar_black-NA-1-1-NA-NA-AA
meanvar_black,1,1,2,AA,2019,2,2019-05-09,NA,NA,BOER4,6,1.5,NA,1,NA,NA,npp_meanvar_g.05.09.19.jcj.csv,JCJ,meanvar_black-NA-1-2-NA-NA-AA
meanvar_black,1,1,1,AA,2019,2,2019-05-09,NA,NA,LEFE,1,0.1,3,1,NA,NA,npp_meanvar_g.05.09.19.jcj.csv,JCJ,meanvar_black-NA-1-1-NA-NA-AA
meanvar_black,1,1,1,AA,2019,2,2019-05-09,NA,NA,CRCR3,3,0.1,4,8,NA,NA,npp_meanvar_g.05.09.19.jcj.csv,JCJ,meanvar_black-NA-1-1-NA-NA-AA
meanvar_black,1,1,1,AA,2019,2,2019-05-09,NA,NA,CRCR3,4,0.25,12,1,NA,NA,npp_meanvar_g.05.09.19.jcj.csv,JCJ,meanvar_black-NA-1-1-NA-NA-AA
meanvar_black,1,1,2,AA,2019,3,2019-09-17,NA,NA,BOER4,5,6,NA,2,NA,NA,npp_meanvar.09.17.19.lebg.csv,LEB,meanvar_black-NA-1-2-NA-NA-AA
meanvar_black,1,1,1,AA,2019,2,2019-05-09,NA,NA,PLPA2,3,0.05,3,35,NA,NA,npp_meanvar_g.05.09.19.jcj.csv,JCJ,meanvar_black-NA-1-1-NA-NA-AA
meanvar_black,1,1,1,AA,2019,2,2019-05-09,NA,NA,SATR12,1,0.1,4,2,NA,NA,npp_meanvar_g.05.09.19.jcj.csv,JCJ,meanvar_black-NA-1-1-NA-NA-AA
meanvar_black,1,1,2,AA,2019,2,2019-05-09,NA,NA,ASFE2,1,0.05,3,1,NA,NA,npp_meanvar_g.05.09.19.jcj.csv,JCJ,meanvar_black-NA-1-2-NA-NA-AA
meanvar_black,1,1,2,AA,2019,2,2019-05-09,NA,NA,BOER4,1,1,NA,3,NA,NA,npp_meanvar_g.05.09.19.jcj.csv,JCJ,meanvar_black-NA-1-2-NA-NA-AA
meanvar_black,1,1,2,AA,2019,2,2019-05-09,NA,NA,MAPIP,3,0.01,2,26,NA,NA,npp_meanvar_g.05.09.19.jcj.csv,JCJ,meanvar_black-NA-1-2-NA-NA-AA
