site,block,plot,quad,treatment,year,date,mean_trt,var_trt,kartez,genus,sp.epithet,family,LifeHistory,PhotoPath,FunctionalGroup,cover,volume,biomass.BM,biomass.BIM,SiteCluster,MetStation,season.precip,GDD,SPEI.comp
meanvar_black,1,1,2,AA,2019,2019-05-10,NA,NA,PLPA2,Plantago,patagonica,Plantaginaceae,annual,C3,forb,23.15,117.7,15.7718,15.7718,FivePoints,49,68.61702128,1433.471,0.869776681
meanvar_black,1,1,2,AA,2019,2019-05-10,NA,NA,OECA10,Oenothera,caespitosa,Onagraceae,perennial,C3,forb,0.1,0.3,0.18755,0.18755,FivePoints,49,68.61702128,1433.471,0.869776681
meanvar_black,1,1,2,AA,2019,2019-09-17,NA,NA,SATR12,Salsola,tragus,Chenopodiaceae,annual,C4,forb,0.85,16.15,3.42805,3.42805,FivePoints,49,101.3829787,4398.622,0.377469968
meanvar_black,1,1,2,AA,2019,2019-09-17,NA,NA,MAPIP,Machaeranthera,pinnatifida,Asteraceae,perennial,C3,forb,1.37,0,3.81134,3.81134,FivePoints,49,101.3829787,4398.622,0.377469968
meanvar_black,1,1,1,AA,2019,2019-05-10,NA,NA,PLPA2,Plantago,patagonica,Plantaginaceae,annual,C3,forb,17.85,107.35,14.3849,14.3849,FivePoints,49,68.61702128,1433.471,0.869776681
meanvar_black,1,1,1,AA,2019,2019-09-17,NA,NA,SATR12,Salsola,tragus,Chenopodiaceae,annual,C4,forb,0.55,6.2,2.21815,2.21815,FivePoints,49,101.3829787,4398.622,0.377469968
meanvar_black,1,1,1,AA,2019,2019-09-17,NA,NA,LEFE,Lesquerella,fendleri,Brassicaceae,perennial,C3,forb,0.05,0.15,0.21005,0.21005,FivePoints,49,101.3829787,4398.622,0.377469968
meanvar_black,1,1,2,AA,2019,2019-05-10,NA,NA,ASFE2,Astragalus,missouriensis,Fabaceae,perennial,C3,forb,0.05,0.15,0.10175,0.10175,FivePoints,49,68.61702128,1433.471,0.869776681
meanvar_black,1,1,1,AA,2019,2019-09-17,NA,NA,BOER4,Bouteloua,eriopoda,Poaceae,perennial,C4,grass,12.35,0,34.1601,34.1601,FivePoints,49,101.3829787,4398.622,0.377469968
meanvar_black,1,1,1,AA,2019,2019-05-10,NA,NA,LEFE,Lesquerella,fendleri,Brassicaceae,perennial,C3,forb,0.1,0.3,0.3165,0.3165,FivePoints,49,68.61702128,1433.471,0.869776681
