TP_ID,Add_Year,Plot,Species,Germ_date,Last_Obs,Death_date,Surv_days,Status
201911BLACKSW5D,2019,11,BLACK,2020-07-31,2022-10-12,2022-10-19,810,1
201917BLACKSW5I,2019,17,BLACK,2020-07-31,2021-03-08,2021-03-15,227,1
201917BLACKSW3B,2019,17,BLACK,2020-07-31,2021-02-07,2021-02-14,198,1
201917BLACKSW3D,2019,17,BLACK,2020-07-31,2021-02-07,2021-02-14,198,1
201912BLACKSW5D,2019,12,BLACK,2020-07-31,2021-02-07,2021-02-14,198,1
201917BLACKSW5E,2019,17,BLACK,2020-07-31,2021-02-07,2021-02-14,198,1
201923BLACKSW5F,2019,23,BLACK,2020-07-31,2021-02-07,2021-02-14,198,1
20193BLACKSW5G,2019,3,BLACK,2020-07-31,2021-02-07,2021-02-14,198,1
201915BLACKSW5H,2019,15,BLACK,2020-07-31,2021-02-07,2021-02-14,198,1
201926BLACKNE1I,2019,26,BLACK,2020-07-31,2020-12-08,2020-12-15,137,1
201917BLACKSW4J,2019,17,BLACK,2020-07-31,2020-12-08,2020-12-15,137,1
201915BLACKSW5B,2019,15,BLACK,2020-07-31,2020-12-08,2020-12-15,137,1
201917BLACKSW1D,2019,17,BLACK,2020-07-31,2020-11-01,2020-11-08,100,1
20192BLACKNE3A,2019,2,BLACK,2020-07-31,2020-11-01,2020-11-08,100,1
201911BLACKSW3A,2019,11,BLACK,2020-07-31,2020-11-01,2020-11-08,100,1
201911BLACKSW3B,2019,11,BLACK,2020-07-31,2020-11-01,2020-11-08,100,1
201926BLACKNE3I,2019,26,BLACK,2020-08-13,2020-12-08,2020-12-15,124,1
201911BLACKSW4F,2019,11,BLACK,2020-07-31,2020-11-01,2020-11-08,100,1
201915BLACKSW4I,2019,15,BLACK,2020-07-31,2020-11-01,2020-11-08,100,1
201911BLACKSW4J,2019,11,BLACK,2020-07-31,2020-11-01,2020-11-08,100,1
201916BLACKSW4J,2019,16,BLACK,2020-07-31,2020-11-01,2020-11-08,100,1
201930BLACKSW5A,2019,30,BLACK,2020-07-31,2020-11-01,2020-11-08,100,1
201912BLACKSW5B,2019,12,BLACK,2020-07-31,2020-11-01,2020-11-08,100,1
201919BLACKSW5C,2019,19,BLACK,2020-07-31,2020-11-01,2020-11-08,100,1
20196BLACKSW5I,2019,6,BLACK,2020-07-31,2020-11-01,2020-11-08,100,1
201926BLACKNE1A,2019,26,BLACK,2020-07-31,2020-10-10,2020-10-17,78,1
201917BLACKNE1B,2019,17,BLACK,2020-07-31,2020-10-10,2020-10-17,78,1
201917BLACKNE1E,2019,17,BLACK,2020-07-31,2020-10-10,2020-10-17,78,1
20198BLACKSW1F,2019,8,BLACK,2019-09-21,2019-10-27,2019-11-03,43,1
